English,Tamil
From the hill we could see all the buildings in the city,மலையிலிருந்து நகரின் அனைத்து கட்டிடங்களையும் பார்க்க முடிந்தது
We are engaged in a difficult task,நாங்கள் கடினமான பணியில் ஈடுபட்டுள்ளோம்
So great was his emotion that he could not utter a word,ஒரு வார்த்தை கூட பேச முடியாத அளவுக்கு அவரது உணர்ச்சிகள் அதிகமாக இருந்தன
The movie is popular among the youngsters,இப்படம் இளைஞர்கள் மத்தியில் வரவேற்பை பெற்றுள்ளது
The importation of rare wild animals to this country is strictly prohibited,இந்த நாட்டிற்கு அரிதான வன விலங்குகளை இறக்குமதி செய்வது கண்டிப்பாக தடைசெய்யப்பட்டுள்ளது
Since Mario lied to me I dont speak to him anymore,மரியோ என்னிடம் பொய் சொன்னதால் நான் அவனிடம் இனி பேசுவதில்லை
Sometimes I cant help showing emotions,சில நேரங்களில் என்னால் உணர்ச்சிகளைக் காட்டாமல் இருக்க முடியாது
No one can deny the fact that fire burns,நெருப்பு எரிகிறது என்பதை யாரும் மறுக்க முடியாது
I have no money but I have dreams,என்னிடம் பணம் இல்லை ஆனால் எனக்கு கனவுகள் உள்ளன
You dont have to trouble yourselves,நீங்கள் சிரமப்பட வேண்டியதில்லை
You cannot buy that judge,அந்த நீதிபதியை விலைக்கு வாங்க முடியாது
Because of the difference in climate the same crop is not cultivated in both the northern and the eastern parts of the country,காலநிலை வேறுபாடு காரணமாக நாட்டின் வடக்கு மற்றும் கிழக்குப் பகுதிகளில் ஒரே பயிர் சாகுபடி செய்யப்படுவதில்லை
You dont know who I am,நான் யாரென்று உனக்குத் தெரியாது
We parted never to see each other again,நாங்கள் பிரிந்தோம் மீண்டும் ஒருவரை ஒருவர் பார்க்க முடியாது
Thanks to the technological innovation the maximum output of the factory has doubled,தொழில்நுட்ப கண்டுபிடிப்புகளுக்கு நன்றி தொழிற்சாலையின் அதிகபட்ச வெளியீடு இரட்டிப்பாகியுள்ளது
Would you be so kind as to post my letter,என் கடிதத்தை இடுகையிடும் அளவுக்கு நீங்கள் அன்பாக இருப்பீர்களா
Could you solve the problem,நீங்கள் சிக்கலை தீர்க்க முடியுமா
Our class has increased in size,எங்கள் வகுப்பு அளவு அதிகரித்துள்ளது
That was a close call,அது ஒரு நெருக்கமான அழைப்பு
Your daughters on drugs,உங்கள் மகள் போதைப்பொருளில் இருக்கிறாள்
I felt the house shake,வீடு குலுங்குவதை உணர்ந்தேன்
Dont forget to extinguish your cigarette,உங்கள் சிகரெட்டை அணைக்க மறக்காதீர்கள்
May you all be happy,நீங்கள் அனைவரும் மகிழ்ச்சியாக இருக்கட்டும்
There is a house on the hill,மலையில் ஒரு வீடு உள்ளது
What are you concerned about,நீங்கள் எதைப் பற்றி கவலைப்படுகிறீர்கள்
The king was tired of his sycophants always praising him so he sent them away,ராஜா தனது துறவிகள் எப்போதும் அவரைப் புகழ்ந்து பேசுவதில் சோர்வடைந்தார் எனவே அவர் அவர்களை அனுப்பினார்
Our income is small but we get by,எங்கள் வருமானம் சிறியது ஆனால் நாங்கள் பெறுகிறோம்
Ten to one you can pass the test,பத்துக்கு ஒன்று நீங்கள் தேர்வில் தேர்ச்சி பெறலாம்
It takes you an hour to go to the station on foot,ஸ்டேஷனுக்கு நடந்தே செல்ல ஒரு மணி நேரம் ஆகும்
They helped one another to make the school festival a success,பள்ளி விழாவை சிறப்பாக நடத்த ஒருவருக்கு ஒருவர் உதவினர்
We came to an agreement in the end,இறுதியில் ஒரு உடன்பாட்டுக்கு வந்தோம்
Our plan has many additional advantages,எங்கள் திட்டத்தில் பல கூடுதல் நன்மைகள் உள்ளன
When I bite down this tooth hurts,நான் கடித்தால் இந்த பல் வலிக்கிறது
I dont expect anything from you,நான் உங்களிடமிருந்து எதையும் எதிர்பார்க்கவில்லை
Education is a critical element,கல்வி ஒரு முக்கியமான உறுப்பு
His pride didnt allow him to ask for help,அவரது பெருமை அவரை உதவி கேட்க அனுமதிக்கவில்லை
In case of fire break this window,தீ ஏற்பட்டால் இந்த சாளரத்தை உடைக்கவும்
You must know youre faced with a crisis,நீங்கள் ஒரு நெருக்கடியை எதிர்கொள்கிறீர்கள் என்பதை நீங்கள் அறிந்திருக்க வேண்டும்
Can you walk to school or do you have to take the bus,நீங்கள் பள்ளிக்கு நடந்து செல்ல முடியுமா அல்லது பஸ்ஸில் செல்ல வேண்டுமா
An ox is captured by the horns a person is bound by his word,ஒரு எருது கொம்புகளால் பிடிக்கப்படுகிறது ஒரு நபர் தனது வார்த்தைக்கு கட்டுப்படுகிறார்
Please put your cigarette out,தயவுசெய்து உங்கள் சிகரெட்டை வெளியே போடுங்கள்
In case of emergency call 119,அவசரநிலை ஏற்பட்டால் 119ஐ அழைக்கவும்
I wonder if you could find some time to see me,என்னைப் பார்க்க உங்களுக்கு சிறிது நேரம் கிடைக்குமா என்று எனக்கு ஆச்சரியமாக இருக்கிறது
Its time to go to school,பள்ளிக்குச் செல்ல வேண்டிய நேரம் இது
I feel relaxed with you,நான் உங்களுடன் நிம்மதியாக உணர்கிறேன்
We felt relieved when we saw a light in the distance,தூரத்தில் ஒரு வெளிச்சத்தைப் பார்த்ததும் நிம்மதியாக உணர்ந்தோம்
The teacher as well as his students has come,ஆசிரியரும் அவருடைய மாணவர்களும் வந்திருக்கிறார்கள்
Everybody looks up to him,எல்லோரும் அவரைப் பார்க்கிறார்கள்
I was caught in a shower on my way home from school got soaking wet and caught a cold,பள்ளியிலிருந்து வீட்டிற்கு வரும் வழியில் மழையில் சிக்கி நனைந்து சளி பிடித்தேன்
We should not resort to violence,நாம் வன்முறையில் ஈடுபடக் கூடாது
Although her house is nearby I seldom see her,அவள் வீடு அருகிலேயே இருந்தாலும் அவளை நான் பார்ப்பது அரிது
Modern methods improved industry,நவீன முறைகள் தொழில்துறையை மேம்படுத்தின
You are tired arent you,நீங்கள் சோர்வாக இருக்கிறீர்கள் இல்லையா
Cleanse me Release me Set me free,என்னை சுத்தப்படுத்து என்னை விடுதலை செய் என்னை விடுதலை செய்
Smokers are as aware as anybody else of the disadvantages of their hobby but manage to live with that knowledge for two main reasons,புகைப்பிடிப்பவர்கள் தங்கள் பொழுதுபோக்கின் தீமைகளைப் பற்றி மற்றவர்களைப் போலவே அறிந்திருக்கிறார்கள் ஆனால் இரண்டு முக்கிய காரணங்களுக்காக அந்த அறிவோடு வாழ முடிகிறது
A surprise was in store for me at home,வீட்டில் எனக்கு ஒரு ஆச்சரியம் காத்திருந்தது
Take off your shoes,உங்கள் காலணிகளை கழற்றவும்
It was you that made the mistake,தப்பு செய்தது நீதான்
Youd better knuckle down to work,நீங்கள் வேலைக்குச் செல்வது நல்லது
I paid the bill out of my expense account,எனது செலவுக் கணக்கிலிருந்து பில்லைச் செலுத்தினேன்
Id like to see a play Do you have any information,நான் ஒரு நாடகத்தைப் பார்க்க விரும்புகிறேன் உங்களிடம் ஏதேனும் தகவல் உள்ளதா
The nurse took his temperature with a thermometer,செவிலியர் ஒரு தெர்மாமீட்டர் மூலம் அவரது வெப்பநிலையை எடுத்தார்
Too long a holiday makes one reluctant to start work again,மிக நீண்ட விடுமுறை ஒருவரை மீண்டும் வேலையைத் தொடங்கத் தயங்குகிறது
Smoking is not permitted in the cinema,சினிமாவில் புகைபிடிக்க அனுமதி இல்லை
Do as you like,நீங்கள் விரும்பியபடி செய்யுங்கள்
We adjourned the meeting for lunch,கூட்டத்தை மதிய உணவுக்காக ஒத்திவைத்தோம்
Dont you like apples,உங்களுக்கு ஆப்பிள் பிடிக்காதா
Are you crazy,உனக்கு பைத்தியமா
I think it is best not to be impolite,அநாகரிகமாக இருக்காமல் இருப்பதே சிறந்தது என்று நினைக்கிறேன்
Mr Kato teaches us English,திரு கேட்டோ எங்களுக்கு ஆங்கிலம் கற்பிக்கிறார்
More haste less speed,அதிக அவசரம் குறைந்த வேகம்
Lack of exercise may harm your health,உடற்பயிற்சியின்மை உங்கள் ஆரோக்கியத்திற்கு தீங்கு விளைவிக்கும்
What a dishonest fellow,என்ன ஒரு நேர்மையற்ற தோழர்
The brightness of the sky showed that the storm had passed,வானத்தின் பிரகாசம் புயல் கடந்துவிட்டதைக் காட்டியது
That young critic is in high demand in a lot of places,அந்த இளம் விமர்சகருக்கு நிறைய இடங்களில் தேவை அதிகம்
Press this button to start the machine,இயந்திரத்தைத் தொடங்க இந்த பொத்தானை அழுத்தவும்
You must be careful not to make him angry,அவரை கோபப்படுத்தாமல் கவனமாக இருக்க வேண்டும்
Have you been to Kyoto,நீங்கள் கியோட்டோ சென்றிருக்கிறீர்களா
Could you give me a ride to the station,எனக்கு ஸ்டேஷனுக்கு ஒரு சவாரி கொடுக்க முடியுமா
We didnt actually see the accident,விபத்தை நாங்கள் உண்மையில் பார்க்கவில்லை
My shoes are too small I need new ones,என் காலணிகள் மிகவும் சிறியவை எனக்கு புதியவை தேவை
You must not forget your schoolbooks,உங்கள் பள்ளி புத்தகங்களை மறந்துவிடக் கூடாது
We can hardly wait for the party on Friday,வெள்ளிக்கிழமை விருந்துக்காக நாங்கள் காத்திருக்க முடியாது
If you dont take a vacation youll collapse,நீங்கள் விடுமுறை எடுக்கவில்லை என்றால் நீங்கள் வீழ்ச்சியடைவீர்கள்
I saw some monkeys climbing the tree,சில குரங்குகள் மரத்தில் ஏறுவதைப் பார்த்தேன்
Young people wear their hair long these days,இன்றைய இளைஞர்கள் தங்கள் தலைமுடியை நீளமாக அணிகின்றனர்
That wasnt my intention,அது என் நோக்கம் இல்லை
You dont exert yourself much,நீங்கள் அதிகம் உழைப்பதில்லை
Dont you feel like going to the movies,சினிமாவுக்கு போகணும்னு தோணலையா
He acted as a guide while I was staying in Kyoto,நான் கியோட்டோவில் தங்கியிருந்தபோது அவர் வழிகாட்டியாக செயல்பட்டார்
We need action not words,நமக்கு செயல் தேவை வார்த்தைகள் அல்ல
You have to leave home at six,ஆறு மணிக்கு வீட்டை விட்டு வெளியேற வேண்டும்
Are you talking to me,நீ என்னிடம் பேசுகிறாயா
As long as you are here we might as well begin,நீங்கள் இங்கே இருக்கும் வரை நாமும் தொடங்கலாம்
How naughty you are Stop bothering me,நீ எவ்வளவு குறும்பு என்னை தொந்தரவு செய்வதை நிறுத்து
On base and off buckle your seatbelts,பேஸ் மற்றும் ஆஃப் உங்கள் இருக்கை பெல்ட்களை கொக்கி
You look bored,நீங்கள் சலித்து பார்க்கிறீர்கள்
We traveled around the country by car,காரில் நாடு முழுவதும் பயணம் செய்தோம்
We believe that you will be able to make a price concession,நீங்கள் ஒரு விலைச் சலுகையை வழங்க முடியும் என்று நாங்கள் நம்புகிறோம்
The association is still a far cry from being well organized,சங்கம் இன்னும் ஒழுங்கமைக்கப்படாமல் வெகு தொலைவில் உள்ளது
The robbers fell on her there,அங்கே அவள் மீது கொள்ளையர்கள் விழுந்தனர்
Granting that favor is out of the question,அந்த உதவியை வழங்குவது கேள்விக்கு அப்பாற்பட்டது
The cow missed being hit by a gnats whisker,மாடு ஒரு கொசுவின் மீசையால் அடிக்க தவறிவிட்டது
Our country must develop its natural resources,நமது நாடு இயற்கை வளங்களை மேம்படுத்த வேண்டும்
Would you mail this letter for me on your way to school,பள்ளிக்குச் செல்லும் வழியில் இந்தக் கடிதத்தை எனக்கு அனுப்புவீர்களா
The speaker aroused the anger of the audience,பேச்சாளர் பார்வையாளர்களின் கோபத்தை எழுப்பினார்
The station is nearby,நிலையம் அருகில் உள்ளது
After a couple of drinks the guy was feeling no pain,இரண்டு பானங்களுக்குப் பிறகு பையன் வலியை உணரவில்லை
What a lazy teacher,என்ன ஒரு சோம்பேறி ஆசிரியர்
I was wondering if you were going to show up today,இன்றைக்கு நீ வரப் போகிறாயா என்று யோசித்தேன்
Have you taken your medicine yet,நீங்கள் இன்னும் மருந்து சாப்பிட்டீர்களா
Dont wash your dirty linen in public,உங்கள் அழுக்கு துணியை பொது இடத்தில் கழுவ வேண்டாம்
The thieves knocked off another bank today in a daytime robbery,பகல் கொள்ளையில் இன்று மற்றொரு வங்கியை திருடர்கள் தட்டிச் சென்றுள்ளனர்
On my way home I came across an old friend,வீட்டிற்குச் செல்லும் வழியில் ஒரு பழைய நண்பரைக் கண்டேன்
You are the wickedest witty person I know,எனக்குத் தெரிந்த மிக மோசமான புத்திசாலி நீங்கள்
Youre a friend of Toms eh,நீங்கள் டாமின் நண்பரா இல்லையா
A person with weak eyes cant see far,பலவீனமான கண்களைக் கொண்ட ஒருவரால் வெகுதூரம் பார்க்க முடியாது
The essential points of my argument have been expressed in the preceding pages,எனது வாதத்தின் முக்கியப் புள்ளிகள் முந்தைய பக்கங்களில் வெளிப்படுத்தப்பட்டுள்ளன
When will your assignment be completed,உங்கள் பணி எப்போது முடிவடையும்
I am a flawed person but these are flaws that can easily be fixed,நான் ஒரு குறைபாடுள்ள நபர் ஆனால் இவை எளிதில் சரிசெய்யக்கூடிய குறைபாடுகள்
He is proud of his scholarship,அவர் தனது புலமையைப் பற்றி பெருமைப்படுகிறார்
We fought for our lives in the storm,புயலில் உயிருக்குப் போராடினோம்
The sky is covered with clouds,வானம் மேகங்களால் மூடப்பட்டுள்ளது
The conference is to be held in Tokyo the day after tomorrow,நாளை மறுநாள் டோக்கியோவில் மாநாடு நடைபெற உள்ளது
The men will be happy if they get anything back,ஏதாவது திரும்ப கிடைத்தால் ஆண்கள் மகிழ்ச்சி அடைவார்கள்
Hello Are you still here,வணக்கம் நீங்கள் இன்னும் இங்கே இருக்கிறீர்களா
Read this book at your leisure,உங்கள் ஓய்வு நேரத்தில் இந்தப் புத்தகத்தைப் படியுங்கள்
Without air and water nothing could live,காற்று மற்றும் நீர் இல்லாமல் எதுவும் வாழ முடியாது
I can see some people walking across the street,தெருவில் சிலர் நடந்து செல்வதை நான் பார்க்கிறேன்
She certainly looks beautiful in a Japanese kimono,அவள் நிச்சயமாக ஒரு ஜப்பானிய கிமோனோவில் அழகாக இருக்கிறாள்
May I have something to drink,நான் ஏதாவது குடிக்கலாமா
This is an extremely well run company,இது மிகவும் சிறப்பாக இயங்கும் நிறுவனம்
We have every advantage over them,அவர்களை விட எங்களுக்கு எல்லா நன்மைகளும் உள்ளன
Do you know when the musician will come here,இசையமைப்பாளர் எப்போது இங்கு வருவார் தெரியுமா
We work for our living,நாங்கள் வாழ்வாதாரத்திற்காக உழைக்கிறோம்
It is not wise to put your money on a horse,உங்கள் பணத்தை குதிரை மீது வைப்பது புத்திசாலித்தனம் அல்ல
I dont feel like anything,எனக்கு ஒன்றும் ஆகவில்லை
Some of the students were late for school,சில மாணவர்கள் பள்ளிக்கு தாமதமாக வந்தனர்
I cannot accept your gift,உங்கள் பரிசை என்னால் ஏற்க முடியாது
Even plastic surgery wont do anything for your ugliness,பிளாஸ்டிக் சர்ஜரி கூட உங்கள் அசிங்கத்திற்கு ஒன்றும் செய்யாது
I hear you are taking English lessons,நீங்கள் ஆங்கில பாடம் எடுக்கிறீர்கள் என்று கேள்விப்பட்டேன்
What are you going to do after you leave school,பள்ளியை விட்டு வெளியேறிய பிறகு நீங்கள் என்ன செய்யப் போகிறீர்கள்
You look pale today,நீ இன்று வெளிர் நிறமாக இருக்கிறாய்
Your decision is open to some debate,உங்கள் முடிவு சில விவாதங்களுக்குத் திறந்திருக்கும்
I dont like the new textbook for my English class I prefer the original,எனது ஆங்கில வகுப்புக்கான புதிய பாடப்புத்தகம் எனக்குப் பிடிக்கவில்லை நான் அசல் விரும்புகிறேன்
As soon as I went out it began to rain,நான் வெளியே சென்றவுடன் மழை பெய்ய ஆரம்பித்தது
Wholesale prices had been basically flat,மொத்த விற்பனை விலைகள் அடிப்படையில் சீராக இருந்தன
I think youd better go on a diet,நீங்கள் டயட்டில் செல்வது நல்லது என்று நினைக்கிறேன்
I was caught in shower on my way home,நான் வீட்டிற்கு செல்லும் வழியில் மழையில் சிக்கினேன்
The wholesalers might try to back out of the deal,மொத்த விற்பனையாளர்கள் ஒப்பந்தத்தில் இருந்து பின்வாங்க முயற்சி செய்யலாம்
I am not excited any more than you are,உங்களை விட நான் உற்சாகமாக இல்லை
A number of cars are parked in front of my house,என் வீட்டின் முன் பல கார்கள் நிற்கின்றன
Your wife is mad at you,உங்கள் மனைவி உங்கள் மீது கோபமாக இருக்கிறார்
All our efforts were in vain,எங்கள் முயற்சிகள் அனைத்தும் வீண்
You are at liberty to leave any time,நீங்கள் எப்போது வேண்டுமானாலும் வெளியேறலாம்
You are wavering,நீங்கள் அலைக்கழிக்கிறீர்கள்
Please clean the dirty floor,அழுக்கு தரையை சுத்தம் செய்யவும்
You look very charming today,இன்று நீங்கள் மிகவும் அழகாக இருக்கிறீர்கள்
Ill be only too glad to go with you,உங்களுடன் செல்வதில் நான் மிகவும் மகிழ்ச்சியடைவேன்
Its a long road with no curves,வளைவுகள் இல்லாத நீண்ட சாலை அது
Never too much of anything,எதற்கும் அதிகமாக வேண்டாம்
One problem is how the enterprises arrange posts for excellent female students but another important point is whether the educational industry can grow and supply creative students needed for Japans future,நிறுவனங்கள் சிறந்த பெண் மாணவர்களுக்கான பதவிகளை எவ்வாறு ஏற்பாடு செய்கின்றன என்பது ஒரு பிரச்சனை ஆனால் மற்றொரு முக்கியமான விஷயம் என்னவென்றால் கல்வித் துறையானது ஜப்பானின் எதிர்காலத்திற்குத் தேவையான ஆக்கப்பூர்வமான மாணவர்களை வளர்த்து வழங்க முடியுமா என்பதுதான்
Did you inform your friends of your homecoming,உங்கள் வீட்டிற்கு வருவதை உங்கள் நண்பர்களுக்கு தெரிவித்தீர்களா
English is by far the most widelyspoken language in the world,உலகில் அதிகம் பேசப்படும் மொழி ஆங்கிலம்
Everything seemed to go wrong with me,எனக்கு எல்லாமே தவறாகப் போவதாகத் தோன்றியது
Music affords us much pleasure,இசை நமக்கு மிகுந்த மகிழ்ச்சியைத் தருகிறது
Each generation would have to rediscover for itself the truths of the past,ஒவ்வொரு தலைமுறையும் கடந்த கால உண்மைகளை மீண்டும் கண்டுபிடிக்க வேண்டும்
What made her so sad,அவளை மிகவும் வருத்தப்படுத்தியது எது
Bring me a dry towel,எனக்கு ஒரு உலர்ந்த துண்டு கொண்டு வா
I feel that I am free,நான் சுதந்திரமாக இருப்பதை உணர்கிறேன்
Your collar has a stain on it,உங்கள் காலரில் ஒரு கறை உள்ளது
I met nobody on my way home,நான் வீட்டிற்கு செல்லும் வழியில் யாரையும் சந்திக்கவில்லை
You should have nothing to complain about,நீங்கள் புகார் செய்ய எதுவும் இருக்கக்கூடாது
The meeting will take place next Sunday,எதிர்வரும் ஞாயிற்றுக்கிழமை இந்த சந்திப்பு இடம்பெறவுள்ளது
Science has brought about many changes in our lives,விஞ்ஞானம் நம் வாழ்வில் பல மாற்றங்களை கொண்டு வந்துள்ளது
It was wise of you to ask him for help,நீங்கள் அவரிடம் உதவி கேட்பது புத்திசாலித்தனம்
I like cold potato salad in the summertime,நான் கோடை காலத்தில் குளிர்ந்த உருளைக்கிழங்கு சாலட் விரும்புகிறேன்
I didnt like it,எனக்கு அது பிடிக்கவில்லை
Its more difficult than you think,நீங்கள் நினைப்பதை விட இது மிகவும் கடினம்
She knew what it was like for married women to look after houses husbands and children,திருமணமான பெண்கள் வீடுகள் கணவர்கள் மற்றும் குழந்தைகளைப் பார்ப்பது எப்படி இருக்கும் என்று அவளுக்குத் தெரியும்
If it isnt out of your way please take this letter to the post office,இது உங்கள் வழியில் இல்லை என்றால் தயவுசெய்து இந்த கடிதத்தை தபால் நிலையத்திற்கு கொண்டு செல்லவும்
Canada is a good place to go if its your first experience living abroad,வெளிநாட்டில் வாழும் முதல் அனுபவமாக இருந்தால் கனடா செல்ல ஒரு நல்ல இடம்
You are idle to the bone,நீங்கள் எலும்பில் சும்மா இருக்கிறீர்கள்
Fishing just isnt my line,மீன்பிடித்தல் என்பது எனது வரி அல்ல
You got me,நீ என்னைப் பெற்றாய்
The professor smiled,பேராசிரியர் புன்னகைத்தார்
The meeting was well attended,கூட்டத்தில் ஏராளமானோர் கலந்து கொண்டனர்
How many people are in this room,இந்த அறையில் எத்தனை பேர் இருக்கிறார்கள்
The sky is as blue as blue can be,வானம் எவ்வளவு நீலமாக இருக்க முடியுமோ அவ்வளவு நீலமானது
We elected Mr Jordan chairperson,நாங்கள் திரு ஜோர்டான் தலைவரைத் தேர்ந்தெடுத்தோம்
The meeting will commence,கூட்டம் தொடங்கும்
There was a strong wind,பலத்த காற்று வீசியது
Are seats available,இருக்கைகள் கிடைக்குமா
I agree with you to a degree,நான் உங்களுடன் ஒரு அளவிற்கு உடன்படுகிறேன்
The school grounds extend as far as this fence,பள்ளி மைதானம் இந்த வேலி வரை நீண்டுள்ளது
If you dont have anything to do look at the ceiling of your room,நீங்கள் எதுவும் செய்யவில்லை என்றால் உங்கள் அறையின் கூரையைப் பாருங்கள்
Shall I help you with the washingup,கழுவுவதற்கு நான் உங்களுக்கு உதவட்டுமா
Drawing is a lot of fun it helps me to relax,வரைதல் மிகவும் வேடிக்கையானது அது எனக்கு ஓய்வெடுக்க உதவுகிறது
Three students Heres my student ID,மூன்று மாணவர்கள் இதோ என் மாணவர் ஐடி
You are prohibited from smoking here,நீங்கள் இங்கு புகைபிடிக்க தடை விதிக்கப்பட்டுள்ளது
Your work comes short of the expected standard,உங்கள் பணி எதிர்பார்த்த தரத்தை விட குறைவாக இருக்கும்
Seen from a distance the stone looks like a human face,தூரத்தில் இருந்து பார்த்தால் கல் மனித முகம் போல் தெரிகிறது
Your bike is better than mine,என்னுடைய பைக்கை விட உங்கள் பைக் சிறந்தது
I would rather kill myself than reconcile myself to my fate,என் தலைவிதியுடன் சமரசம் செய்து கொள்வதை விட நான் தற்கொலை செய்து கொள்வேன்
I will be very happy to accept your invitation,உங்கள் அழைப்பை ஏற்றுக்கொள்வதில் நான் மிகவும் மகிழ்ச்சியடைவேன்
You must have a lot of patience to learn foreign languages,வெளிநாட்டு மொழிகளைக் கற்க உங்களுக்கு நிறைய பொறுமை இருக்க வேண்டும்
Its no use pretending to make me believe that I believe things you dont believe,நீங்கள் நம்பாததை நான் நம்புகிறேன் என்று என்னை நம்ப வைப்பதில் பயனில்லை
Competition is not by nature evil,போட்டி என்பது இயற்கையில் தீயதல்ல
The English language surrounds us like a sea,ஆங்கில மொழி கடல் போல நம்மைச் சூழ்ந்துள்ளது
Its a small noisy apartment but its where I live and I call it home,இது ஒரு சிறிய சத்தமில்லாத அபார்ட்மெண்ட் ஆனால் நான் வசிக்கும் இடம் அதுதான் நான் அதை வீட்டிற்கு அழைக்கிறேன்
We are all in daily pursuit of happiness,நாம் அனைவரும் தினசரி மகிழ்ச்சியைத் தேடுகிறோம்
Whats the temperature,வெப்பநிலை என்ன
I cannot dance one single step of Salsa,சல்சாவின் ஒரு அடியை என்னால் ஆட முடியாது
Youre giving me the same old line,பழைய வரியையே எனக்கும் தருகிறீர்கள்
The functions sine and cosine take values between 1 and 1 1 and 1 included,சைன் மற்றும் கொசைன் செயல்பாடுகள் 1 மற்றும் 1 1 மற்றும் 1 ஆகியவை அடங்கும் இடையே மதிப்புகளை எடுக்கும்
There are 1000 movies that one must watch before dying,ஒருவர் இறப்பதற்கு முன் பார்க்க வேண்டிய 1000 திரைப்படங்கள் உள்ளன
There were few students remaining in the classroom,வகுப்பறையில் சில மாணவர்களே எஞ்சியிருந்தனர்
Im freezing,நான் உறைந்து கொண்டிருக்கிறேன்
I think you have sent me a wrong order,நீங்கள் எனக்கு தவறான உத்தரவை அனுப்பியுள்ளீர்கள் என்று நினைக்கிறேன்
You had better not have gone there,நீங்கள் அங்கு செல்லாமல் இருப்பது நல்லது
Why did she interrupt me,அவள் ஏன் என்னை குறுக்கிட்டாள்
The station is a ten minute drive from here,இங்கிருந்து பத்து நிமிட பயணத்தில் நிலையம் உள்ளது
What did you make,நீங்கள் என்ன செய்தீர்கள்
We had lunch at a roadside restaurant,சாலையோர உணவகத்தில் மதிய உணவு சாப்பிட்டோம்
You are always doubting my word,நீங்கள் எப்போதும் என் வார்த்தையை சந்தேகிக்கிறீர்கள்
Your composition is as good as ever,உங்கள் அமைப்பு எப்போதும் போல் நன்றாக உள்ளது
In terms of learning he is superior to all of his friends,கற்றலில் அவர் தனது நண்பர்கள் அனைவரையும் விட உயர்ந்தவர்
The thermometer is an instrument for measuring temperature,வெப்பமானி என்பது வெப்பநிலையை அளவிடுவதற்கான ஒரு கருவியாகும்
Im sure thats no fault of yours,அதில் உங்கள் தவறு இல்லை என்று நான் உறுதியாக நம்புகிறேன்
We decorated the Christmas tree with lights,கிறிஸ்துமஸ் மரத்தை விளக்குகளால் அலங்கரித்தோம்
Meat is very expensive nowadays,இன்று இறைச்சி மிகவும் விலை உயர்ந்தது
Wed like separate checks,நாங்கள் தனி காசோலைகளை விரும்புகிறோம்
You had better not work too hard,நீங்கள் கடினமாக உழைக்காமல் இருப்பது நல்லது
Cares and worries were pervasive in her mind,கவலைகளும் கவலைகளும் அவள் மனதில் வியாபித்திருந்தன
Blindness is responsible for a staggering toll of poor health suffering and loss of dignity and diminution in the quality of lives of people worldwide,உலகெங்கிலும் உள்ள மக்களின் வாழ்க்கைத் தரத்தில் மோசமான உடல்நலம் துன்பம் மற்றும் கண்ணியம் மற்றும் குறைவு ஆகியவற்றின் அதிர்ச்சியூட்டும் எண்ணிக்கைக்கு குருட்டுத்தன்மை காரணமாகும்
Your singing puts professional singers to shame,உங்கள் பாடல் தொழில்முறை பாடகர்களை வெட்கப்பட வைக்கிறது
If you want to be fluent in English youve got to keep at it,நீங்கள் ஆங்கிலத்தில் சரளமாக இருக்க விரும்பினால் நீங்கள் அதைக் கடைப்பிடிக்க வேண்டும்
I didnt feel like studying because the noise outside was getting on my nerves,வெளியில் சத்தம் நரம்புகளில் ஏறியதால் எனக்குப் படிக்கவே மனம் வரவில்லை
Urgent business prevented him from coming,அவசரமான காரியம் அவனை வரவிடாமல் தடுத்தது
The fire started in the kitchen,சமையலறையில் தீ பற்றி எரிந்தது
You have no need to be ashamed,நீங்கள் வெட்கப்பட வேண்டிய அவசியம் இல்லை
You are frustrated with your work,உங்கள் வேலையில் நீங்கள் விரக்தியடைகிறீர்கள்
Are you trying to fish in troubled waters,கலங்கிய நீரில் மீன் பிடிக்க முயற்சிக்கிறீர்களா
People who are afraid of making mistakes will make no progress in English conversation,தவறு செய்ய பயப்படுபவர்கள் ஆங்கில உரையாடலில் முன்னேற மாட்டார்கள்
Whether you like her or not you cant marry her,நீ அவளை விரும்பினாலும் விரும்பாவிட்டாலும் அவளை மணக்க முடியாது
There appears to have been an accident,விபத்து நடந்ததாக தெரிகிறது
Ive got mosquito bites all over my arm,என் கை முழுவதும் கொசு கடித்தது
That sort of thing can happen when you are in haste,நீங்கள் அவசரமாக இருக்கும்போது இதுபோன்ற விஷயங்கள் நடக்கலாம்
During summer breaks I ate dinner at midnight,கோடை இடைவேளையின் போது நள்ளிரவில் இரவு உணவு சாப்பிட்டேன்
Where can I buy a ticket,எங்கே டிக்கெட்களை வாங்குவது
They say love is blind,காதல் குருட்டு என்று சொல்கிறார்கள்
The tulips are in bloom in the flower bed,டூலிப் மலர்கள் மலர் படுக்கையில் பூத்துள்ளன
In case of fire telephone the fire station,தீ விபத்து ஏற்பட்டால் தீயணைப்பு நிலையத்திற்குத் தொடர்பு கொள்ளவும்
